Real_Label,Predito_Label,Mensagem
Spam,Ham,degerli smstr kullanicimiz sms programimiz esitli aksakliklar sebebi ile kullanilamaz hale gelmistir bu sebepten dolayi yeni bir program hazirlamak zorunda kaldik programi asagidaki linki kullanarak indirebilirsiniz programi biz vir s kontrol nden ge irmis bulunmaktayiz bu yeni versiyonda sms in yerine ulasma hizi ok daha artirilmistir ayrica sinirsiz ve toplu sms g nderebilirsiniz ok yakinda logo ve melodi transferi hizmetimiz acilacaktir sizi bir sure sinirsiz smsden mahrum ettigimiz icin ozur dileriz hyperlink smstr versiyon number number u indirmek i in buraya tiklayiniz
Spam,Ham,forwarded from number hi this is your mailbox messaging sms alert you have number matches please call back on number to retrieve your messages and matches cc number p min
Spam,Ham,v iagra it s for more than just sex
Ham,Spam,reactions website http www reactionsnet com thank you for registering for a free trial to the reactions magazine website your user name and password are listed below please keep this email or a printout of these details as you will need them to access the site if you have any problems logging on or using this site please feel free to contact our help desk on number number number number number or mailto web help euromoneyplc com your trial user name is kaminski and your password is number reactions is also available in hard copy format if you wish to receive a complimentary copy please email us your full mailing address for further informationon all sbscriptions please call our hotline on number number number number number uk or number number number number usa or mailto hotline euromoneyplc com
Spam,Ham,windows xp w office xp for only number haddad verified pocketbooks buttons poetics clockwise gentle symptomatic lining fall casey eliminators besetting terrorize admirably melons entrenched winnie nadir expends doped non coeditor erred backtracker jungle asparagus fence confound hire macedonia niccolo renunciation buzzard precondition tickets acknowledged advisements
Spam,Ham,live better howdy oradder from calanada and sabeve moloney p we are running holot spekocials ol metods stalerts at only g number p number number mexeridleia xaponax cshipbalish and so mulch mocore melods are number b lesose than regopular pricoce no docteror visits or hassles qupoick diposcrezet delivemory to your front dolror depolivlyery any wheire inas thes worield easy you belt it is truly yours jackie stratton contact
Ham,Spam,check wid corect speling i e sarcasm
Spam,Ham,just for test i have to say murdev com
Spam,Ham,liffe is great hello vlsit our medsbymail shop and save over number vl raam enle racl is and ag bi vlt al manyother you will be pieasantly surprised with our prlces have a nice day
Spam,Ham,happy birthday katy url that s not me
Spam,Ham,if you need youtube subscriber mail hermann buchmair on fb
Spam,Ham,feeling down about the slze of your johnson rtxyj nxfgr ktrqr abtyw ifpyc edvve smrzz ejwah mgjdq gfsae gnydw mexzx vsdbr lubbp bvdkf otdmbipdtc viukj dnyuv bwekh ctqpm qywdu ywipb stcuy fbnzx slcxz exanh cpxqw rpjiw hbqcu pifce qypyl hntql uignp fpsus wrgcr ymkqh nkzzv wmkmp eoqlt lthje jttsb uhmrq sjkct pqhop gsnoq otvhj ujcrh iagpn baqhr ajdhs ntznk uuzqc kkesa eocwz vaous
Spam,Ham,claire here am havin borin time am now alone u wanna cum over number nite chat now number hope number c u luv claire xx calls number minmoremobsemspobox number po number wa
